episode,reward
127,-8970.1000
128,-8764.3000
129,-1639.9000
130,-2897.8000
131,-1846.5000
132,-3459.6000
133,-2140.7000
134,-875.7000
135,-2567.4000
136,-4787.7000
137,-5640.9000
138,-1674.1000
139,-6052.5000
140,-6981.6000
141,-10268.0000
142,-3678.8000
143,-2050.3000
144,-2908.7000
145,-854.0000
146,-846.1000
147,-2462.8000
148,-5053.4000
149,-3024.6000
150,-3476.0000
151,-1916.2000
152,-1408.9000
153,-1829.5000
154,-1807.8000
155,-7867.9000
156,-6938.1000
157,-6548.8000
158,-8983.3000
159,-1705.6000
160,-6831.7000
161,-4986.0000
162,-420.7000
163,-3605.0000
164,-7544.6000
165,-1058.1000
166,-1171.9000
167,-1315.8000
168,-979.4000
169,-1673.2000
170,-662.8000
171,15.8000
172,-495.9000
173,-1079.9000
174,-1057.9000
175,-1361.1000
176,-2245.3000
177,-3683.2000
178,-1473.1000
179,-298.9000
180,-7038.4000
181,-2434.2000
182,-1178.8000
183,-15.3000
184,-602.0000
185,-337.3000
186,-1036.9000
187,-2607.6000
188,-389.4000
189,-232.8000
190,-1517.6000
191,-1281.6000
192,-1450.1000
193,-3028.6000
194,-2933.7000
195,-5869.3000
196,-829.4000
197,-507.9000
198,-7030.0000
199,-6065.3000
200,-6861.3000
201,-1062.8000
202,-827.9000
203,-634.4000
204,-2690.5000
205,-2105.3000
206,-1280.0000
207,-1255.1000
208,-907.6000
209,-961.9000
210,-1740.4000
211,-535.4000
212,-745.3000
213,-745.7000
214,-719.3000
215,-1091.8000
216,-1489.5000
217,-2566.1000
218,-815.6000
219,-1599.1000
220,-7024.8000
221,-5374.6000
222,-1855.9000
223,-1549.4000
224,-1003.2000
225,-1446.8000
226,-2763.7000
227,-553.5000
228,-269.3000
229,-601.3000
230,-1069.3000
231,-2563.5000
232,-4916.6000
233,-738.0000
234,-866.8000
235,-379.7000
236,-510.2000
237,-246.4000
238,-855.3000
239,-495.1000
240,-2770.0000
241,-927.7000
242,-788.2000
243,-356.3000
244,-1516.2000
245,-649.9000
246,-238.3000
247,186.7000
248,-1834.3000
249,180.2000
250,-308.1000
251,-644.8000
252,-89.4000
253,-225.5000
254,-670.9000
255,-4749.2000
256,-245.0000
257,-550.1000
258,-618.3000
259,-450.5000
260,-7076.5000
261,-1120.1000
262,-2289.8000
263,-443.7000
264,-3051.7000
265,-1358.3000
266,-1627.5000
267,-2897.9000
268,261.3000
269,-121.8000
270,-800.7000
271,-195.3000
272,-381.3000
273,-555.7000
274,-346.8000
275,-252.6000
276,-935.5000
277,-364.4000
278,-340.9000
279,212.2000
280,-7048.3000
281,-1195.9000
282,-4335.2000
283,-4435.6000
284,-2169.7000
285,-295.4000
286,-1220.9000
287,-506.1000
288,-1042.7000
289,-52.3000
290,-118.1000
291,-697.7000
292,-583.2000
293,-534.2000
294,-3042.4000
295,-2148.2000
296,-881.9000
297,-772.0000
298,-1128.6000
299,-1256.4000
300,-6959.7000
301,-542.0000
302,-1383.4000
303,694.1000
304,181.3000
305,122.2000
306,-483.5000
307,114.9000
308,359.7000
309,246.1000
310,-15.9000
311,-345.6000
312,167.4000
313,275.5000
314,184.9000
315,235.4000
316,120.3000
317,-2755.8000
318,-989.0000
319,-346.5000
320,-385.7000
321,-4533.3000
322,-1692.7000
323,-9.6000
324,-6928.2000
325,-1648.4000
326,-1419.0000
327,-2515.3000
328,-731.7000
329,-1040.6000
330,-519.7000
331,-1528.1000
332,-4614.8000
333,-813.1000
334,-1918.9000
335,-2589.2000
336,-1332.1000
337,-1690.9000
338,-390.2000
339,-3179.7000
340,-2617.2000
341,-2547.1000
342,-2262.9000
343,313.5000
344,-683.2000
345,-586.6000
346,-902.8000
347,-1516.1000
348,-6674.4000
349,-1622.8000
350,-53.5000
351,-1342.1000
352,298.2000
353,282.4000
354,252.8000
355,74.8000
356,-370.6000
357,333.7000
358,-278.9000
359,-96.8000
360,535.5000
361,305.9000
362,358.3000
363,147.4000
364,291.1000
365,-16.5000
366,418.8000
367,-499.8000
368,-2288.6000
369,-1806.6000
370,-2721.7000
371,-1206.5000
372,-758.8000
373,394.6000
374,619.9000
375,1157.4000
376,-303.4000
377,438.0000
378,255.5000
379,-18.1000
380,-204.5000
381,-45.4000
382,116.5000
383,616.5000
384,655.0000
385,-439.3000
386,502.0000
387,273.6000
388,205.3000
389,-312.9000
390,526.5000
391,-172.4000
392,-2272.6000
393,-2657.7000
394,-846.0000
395,-2769.1000
396,-6747.5000
397,-730.5000
398,-526.8000
399,446.1000
